session_date,xnas_close_utc,btc_candle_start,btc_close_at_xnas,matched
2024-01-11,2024-01-11 21:00:00+00:00,2024-01-11 20:00:00+00:00,46289.15,True
2024-01-12,2024-01-12 21:00:00+00:00,2024-01-12 20:00:00+00:00,43648.18,True
2024-01-16,2024-01-16 21:00:00+00:00,2024-01-16 20:00:00+00:00,43170.0,True
2024-01-17,2024-01-17 21:00:00+00:00,2024-01-17 20:00:00+00:00,42636.74,True
2024-01-18,2024-01-18 21:00:00+00:00,2024-01-18 20:00:00+00:00,40677.76,True
2024-01-19,2024-01-19 21:00:00+00:00,2024-01-19 20:00:00+00:00,41543.06,True
2024-01-22,2024-01-22 21:00:00+00:00,2024-01-22 20:00:00+00:00,40139.74,True
2024-01-23,2024-01-23 21:00:00+00:00,2024-01-23 20:00:00+00:00,39120.89,True
2024-01-24,2024-01-24 21:00:00+00:00,2024-01-24 20:00:00+00:00,39471.37,True
2024-01-25,2024-01-25 21:00:00+00:00,2024-01-25 20:00:00+00:00,39801.6,True
2024-01-26,2024-01-26 21:00:00+00:00,2024-01-26 20:00:00+00:00,41967.75,True
2024-01-29,2024-01-29 21:00:00+00:00,2024-01-29 20:00:00+00:00,43149.48,True
2024-01-30,2024-01-30 21:00:00+00:00,2024-01-30 20:00:00+00:00,43552.07,True
2024-01-31,2024-01-31 21:00:00+00:00,2024-01-31 20:00:00+00:00,42524.73,True
2024-02-01,2024-02-01 21:00:00+00:00,2024-02-01 20:00:00+00:00,43001.81,True
2024-02-02,2024-02-02 21:00:00+00:00,2024-02-02 20:00:00+00:00,42935.23,True
2024-02-05,2024-02-05 21:00:00+00:00,2024-02-05 20:00:00+00:00,42376.3,True
2024-02-06,2024-02-06 21:00:00+00:00,2024-02-06 20:00:00+00:00,43092.0,True
2024-02-07,2024-02-07 21:00:00+00:00,2024-02-07 20:00:00+00:00,44129.57,True
2024-02-08,2024-02-08 21:00:00+00:00,2024-02-08 20:00:00+00:00,45527.61,True
2024-02-09,2024-02-09 21:00:00+00:00,2024-02-09 20:00:00+00:00,47559.63,True
2024-02-12,2024-02-12 21:00:00+00:00,2024-02-12 20:00:00+00:00,50212.91,True
2024-02-13,2024-02-13 21:00:00+00:00,2024-02-13 20:00:00+00:00,49446.55,True
2024-02-14,2024-02-14 21:00:00+00:00,2024-02-14 20:00:00+00:00,51744.69,True
2024-02-15,2024-02-15 21:00:00+00:00,2024-02-15 20:00:00+00:00,51717.95,True
2024-02-16,2024-02-16 21:00:00+00:00,2024-02-16 20:00:00+00:00,51862.31,True
2024-02-20,2024-02-20 21:00:00+00:00,2024-02-20 20:00:00+00:00,52004.0,True
2024-02-21,2024-02-21 21:00:00+00:00,2024-02-21 20:00:00+00:00,50943.5,True
2024-02-22,2024-02-22 21:00:00+00:00,2024-02-22 20:00:00+00:00,52018.35,True
2024-02-23,2024-02-23 21:00:00+00:00,2024-02-23 20:00:00+00:00,51092.09,True
2024-02-26,2024-02-26 21:00:00+00:00,2024-02-26 20:00:00+00:00,54476.71,True
2024-02-27,2024-02-27 21:00:00+00:00,2024-02-27 20:00:00+00:00,57015.79,True
2024-02-28,2024-02-28 21:00:00+00:00,2024-02-28 20:00:00+00:00,60402.13,True
2024-02-29,2024-02-29 21:00:00+00:00,2024-02-29 20:00:00+00:00,61958.39,True
2024-03-01,2024-03-01 21:00:00+00:00,2024-03-01 20:00:00+00:00,62990.39,True
2024-03-04,2024-03-04 21:00:00+00:00,2024-03-04 20:00:00+00:00,67626.0,True
2024-03-05,2024-03-05 21:00:00+00:00,2024-03-05 20:00:00+00:00,61896.61,True
2024-03-06,2024-03-06 21:00:00+00:00,2024-03-06 20:00:00+00:00,67075.04,True
2024-03-07,2024-03-07 21:00:00+00:00,2024-03-07 20:00:00+00:00,67729.69,True
2024-03-08,2024-03-08 21:00:00+00:00,2024-03-08 20:00:00+00:00,69334.11,True
2024-03-11,2024-03-11 20:00:00+00:00,2024-03-11 19:00:00+00:00,72033.99,True
2024-03-12,2024-03-12 20:00:00+00:00,2024-03-12 19:00:00+00:00,71428.46,True
2024-03-13,2024-03-13 20:00:00+00:00,2024-03-13 19:00:00+00:00,73517.19,True
2024-03-14,2024-03-14 20:00:00+00:00,2024-03-14 19:00:00+00:00,69260.0,True
2024-03-15,2024-03-15 20:00:00+00:00,2024-03-15 19:00:00+00:00,68988.49,True
2024-03-18,2024-03-18 20:00:00+00:00,2024-03-18 19:00:00+00:00,66934.82,True
2024-03-19,2024-03-19 20:00:00+00:00,2024-03-19 19:00:00+00:00,64378.05,True
2024-03-20,2024-03-20 20:00:00+00:00,2024-03-20 19:00:00+00:00,65782.98,True
2024-03-21,2024-03-21 20:00:00+00:00,2024-03-21 19:00:00+00:00,65220.34,True
2024-03-22,2024-03-22 20:00:00+00:00,2024-03-22 19:00:00+00:00,63872.85,True
2024-03-25,2024-03-25 20:00:00+00:00,2024-03-25 19:00:00+00:00,71071.7,True
2024-03-26,2024-03-26 20:00:00+00:00,2024-03-26 19:00:00+00:00,69445.99,True
2024-03-27,2024-03-27 20:00:00+00:00,2024-03-27 19:00:00+00:00,68591.46,True
2024-03-28,2024-03-28 20:00:00+00:00,2024-03-28 19:00:00+00:00,70840.97,True
2024-04-01,2024-04-01 20:00:00+00:00,2024-04-01 19:00:00+00:00,69709.52,True
2024-04-02,2024-04-02 20:00:00+00:00,2024-04-02 19:00:00+00:00,65963.45,True
2024-04-03,2024-04-03 20:00:00+00:00,2024-04-03 19:00:00+00:00,65826.87,True
2024-04-04,2024-04-04 20:00:00+00:00,2024-04-04 19:00:00+00:00,68540.79,True
2024-04-05,2024-04-05 20:00:00+00:00,2024-04-05 19:00:00+00:00,67368.16,True
2024-04-08,2024-04-08 20:00:00+00:00,2024-04-08 19:00:00+00:00,71747.65,True
2024-04-09,2024-04-09 20:00:00+00:00,2024-04-09 19:00:00+00:00,68949.18,True
2024-04-10,2024-04-10 20:00:00+00:00,2024-04-10 19:00:00+00:00,70087.49,True
2024-04-11,2024-04-11 20:00:00+00:00,2024-04-11 19:00:00+00:00,70490.11,True
2024-04-12,2024-04-12 20:00:00+00:00,2024-04-12 19:00:00+00:00,66855.72,True
2024-04-15,2024-04-15 20:00:00+00:00,2024-04-15 19:00:00+00:00,63310.19,True
2024-04-16,2024-04-16 20:00:00+00:00,2024-04-16 19:00:00+00:00,62738.31,True
2024-04-17,2024-04-17 20:00:00+00:00,2024-04-17 19:00:00+00:00,60992.15,True
2024-04-18,2024-04-18 20:00:00+00:00,2024-04-18 19:00:00+00:00,63550.01,True
2024-04-19,2024-04-19 20:00:00+00:00,2024-04-19 19:00:00+00:00,64350.0,True
2024-04-22,2024-04-22 20:00:00+00:00,2024-04-22 19:00:00+00:00,66570.09,True
2024-04-23,2024-04-23 20:00:00+00:00,2024-04-23 19:00:00+00:00,66496.47,True
2024-04-24,2024-04-24 20:00:00+00:00,2024-04-24 19:00:00+00:00,63880.73,True
2024-04-25,2024-04-25 20:00:00+00:00,2024-04-25 19:00:00+00:00,64719.99,True
2024-04-26,2024-04-26 20:00:00+00:00,2024-04-26 19:00:00+00:00,63716.71,True
2024-04-29,2024-04-29 20:00:00+00:00,2024-04-29 19:00:00+00:00,62958.54,True
2024-04-30,2024-04-30 20:00:00+00:00,2024-04-30 19:00:00+00:00,59098.16,True
2024-05-01,2024-05-01 20:00:00+00:00,2024-05-01 19:00:00+00:00,56873.82,True
2024-05-02,2024-05-02 20:00:00+00:00,2024-05-02 19:00:00+00:00,59369.11,True
2024-05-03,2024-05-03 20:00:00+00:00,2024-05-03 19:00:00+00:00,62074.92,True
2024-05-06,2024-05-06 20:00:00+00:00,2024-05-06 19:00:00+00:00,63207.17,True
2024-05-07,2024-05-07 20:00:00+00:00,2024-05-07 19:00:00+00:00,63055.82,True
2024-05-08,2024-05-08 20:00:00+00:00,2024-05-08 19:00:00+00:00,62152.84,True
2024-05-09,2024-05-09 20:00:00+00:00,2024-05-09 19:00:00+00:00,62436.57,True
2024-05-10,2024-05-10 20:00:00+00:00,2024-05-10 19:00:00+00:00,60652.05,True
2024-05-13,2024-05-13 20:00:00+00:00,2024-05-13 19:00:00+00:00,63173.21,True
2024-05-14,2024-05-14 20:00:00+00:00,2024-05-14 19:00:00+00:00,61553.38,True
2024-05-15,2024-05-15 20:00:00+00:00,2024-05-15 19:00:00+00:00,66065.41,True
2024-05-16,2024-05-16 20:00:00+00:00,2024-05-16 19:00:00+00:00,65181.38,True
2024-05-17,2024-05-17 20:00:00+00:00,2024-05-17 19:00:00+00:00,67099.6,True
2024-05-20,2024-05-20 20:00:00+00:00,2024-05-20 19:00:00+00:00,70068.07,True
2024-05-21,2024-05-21 20:00:00+00:00,2024-05-21 19:00:00+00:00,69284.85,True
2024-05-22,2024-05-22 20:00:00+00:00,2024-05-22 19:00:00+00:00,69638.33,True
2024-05-23,2024-05-23 20:00:00+00:00,2024-05-23 19:00:00+00:00,67113.45,True
2024-05-24,2024-05-24 20:00:00+00:00,2024-05-24 19:00:00+00:00,69135.52,True
2024-05-28,2024-05-28 20:00:00+00:00,2024-05-28 19:00:00+00:00,68345.52,True
2024-05-29,2024-05-29 20:00:00+00:00,2024-05-29 19:00:00+00:00,67192.68,True
2024-05-30,2024-05-30 20:00:00+00:00,2024-05-30 19:00:00+00:00,68679.87,True
2024-05-31,2024-05-31 20:00:00+00:00,2024-05-31 19:00:00+00:00,67578.13,True
2024-06-03,2024-06-03 20:00:00+00:00,2024-06-03 19:00:00+00:00,69204.53,True
2024-06-04,2024-06-04 20:00:00+00:00,2024-06-04 19:00:00+00:00,70439.73,True
2024-06-05,2024-06-05 20:00:00+00:00,2024-06-05 19:00:00+00:00,71300.39,True
2024-06-06,2024-06-06 20:00:00+00:00,2024-06-06 19:00:00+00:00,70472.0,True
2024-06-07,2024-06-07 20:00:00+00:00,2024-06-07 19:00:00+00:00,69206.35,True
2024-06-10,2024-06-10 20:00:00+00:00,2024-06-10 19:00:00+00:00,69492.41,True
2024-06-11,2024-06-11 20:00:00+00:00,2024-06-11 19:00:00+00:00,67400.44,True
2024-06-12,2024-06-12 20:00:00+00:00,2024-06-12 19:00:00+00:00,67520.0,True
2024-06-13,2024-06-13 20:00:00+00:00,2024-06-13 19:00:00+00:00,66570.39,True
2024-06-14,2024-06-14 20:00:00+00:00,2024-06-14 19:00:00+00:00,65470.55,True
2024-06-17,2024-06-17 20:00:00+00:00,2024-06-17 19:00:00+00:00,66657.94,True
2024-06-18,2024-06-18 20:00:00+00:00,2024-06-18 19:00:00+00:00,64366.1,True
2024-06-20,2024-06-20 20:00:00+00:00,2024-06-20 19:00:00+00:00,65010.87,True
2024-06-21,2024-06-21 20:00:00+00:00,2024-06-21 19:00:00+00:00,64193.28,True
2024-06-24,2024-06-24 20:00:00+00:00,2024-06-24 19:00:00+00:00,59270.63,True
2024-06-25,2024-06-25 20:00:00+00:00,2024-06-25 19:00:00+00:00,61960.58,True
2024-06-26,2024-06-26 20:00:00+00:00,2024-06-26 19:00:00+00:00,60931.9,True
2024-06-27,2024-06-27 20:00:00+00:00,2024-06-27 19:00:00+00:00,61362.12,True
2024-06-28,2024-06-28 20:00:00+00:00,2024-06-28 19:00:00+00:00,59952.11,True
2024-07-01,2024-07-01 20:00:00+00:00,2024-07-01 19:00:00+00:00,63163.74,True
2024-07-02,2024-07-02 20:00:00+00:00,2024-07-02 19:00:00+00:00,61832.3,True
2024-07-03,2024-07-03 17:00:00+00:00,2024-07-03 16:00:00+00:00,60427.14,True
2024-07-05,2024-07-05 20:00:00+00:00,2024-07-05 19:00:00+00:00,56463.55,True
2024-07-08,2024-07-08 20:00:00+00:00,2024-07-08 19:00:00+00:00,56475.05,True
2024-07-09,2024-07-09 20:00:00+00:00,2024-07-09 19:00:00+00:00,57858.29,True
2024-07-10,2024-07-10 20:00:00+00:00,2024-07-10 19:00:00+00:00,57384.25,True
2024-07-11,2024-07-11 20:00:00+00:00,2024-07-11 19:00:00+00:00,57386.03,True
2024-07-12,2024-07-12 20:00:00+00:00,2024-07-12 19:00:00+00:00,57611.34,True
2024-07-15,2024-07-15 20:00:00+00:00,2024-07-15 19:00:00+00:00,63426.27,True
2024-07-16,2024-07-16 20:00:00+00:00,2024-07-16 19:00:00+00:00,65208.43,True
2024-07-17,2024-07-17 20:00:00+00:00,2024-07-17 19:00:00+00:00,64602.85,True
2024-07-18,2024-07-18 20:00:00+00:00,2024-07-18 19:00:00+00:00,63547.89,True
